cat_name; act_name; act_id
;;-1
;;-1
;;-1
;;-1
sports;curling;1
sports;curling;1
sports;curling;1
sports;curling;1
sports;curling;1
sports;curling;1
sports;curling;1
;;-1
;;-1
inactivity quiet/light;sitting quietly;2
inactivity quiet/light;sitting quietly;2
miscellaneous;sitting, talking in person, on the phone, computer, or text messaging, light effort;622
miscellaneous;sitting, talking in person, on the phone, computer, or text messaging, light effort;622
miscellaneous;sitting, talking in person, on the phone, computer, or text messaging, light effort;622
miscellaneous;sitting, talking in person, on the phone, computer, or text messaging, light effort;622
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
;;-1
;;-1
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
occupation;truck driving, loading and unloading truck, tying down load, standing, walking and carrying heavy lo;3
water activities;swimming, synchronized;4
;;-1
;;-1
;;-1
inactivity quiet/light;sitting quietly;877
water activities;swimming, synchronized;4
water activities;swimming, synchronized;4
home activities;scrubbing floors;868
home activities;mopping, standing, light effort;341
home activities;mopping, standing, light effort;341
home activities;mopping, standing, light effort;341
home activities;mopping, standing, light effort;341
home activities;mopping, standing, light effort;341
home activities;mopping, standing, light effort;341
occupation;chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart;148
home activities;cleaning, general;620
occupation;chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart;148
;;-1
;;-1
;;-1
lawn and garden;implied walkingstanding - picking up yard, light, picking flowers or vegetables;11
lawn and garden;implied walkingstanding - picking up yard, light, picking flowers or vegetables;11
