annolist_id, filename, frame_sec, vididx
1, 037454012.jpg, , 
2, 095071431.jpg, , 
3, 073199394.jpg, , 
4, 059865848.jpg, , 
5, 015601864.jpg, 11, 1660
6, 015599452.jpg, 84, 1660
7, 005808361.jpg, 135, 2462
8, 086617615.jpg, 240, 2462
9, 060111501.jpg, 6, 89
10, 070807258.jpg, 81, 89
11, 002058449.jpg, 162, 89
12, 096990985.jpg, , 
13, 083244264.jpg, , 
14, 021233911.jpg, 28, 2615
15, 018182497.jpg, 177, 2615
16, 018340451.jpg, 10, 842
17, 030424224.jpg, 95, 842
18, 052475643.jpg, 160, 842
19, 043194502.jpg, 469, 842
20, 029122914.jpg, 2, 889
21, 061185289.jpg, 72, 889
22, 013949386.jpg, 137, 889
23, 029214465.jpg, 244, 889
24, 036636184.jpg, 383, 889
25, 045606998.jpg, 607, 889
26, 078517596.jpg, , 
27, 019967378.jpg, , 
28, 051423444.jpg, 11, 748
29, 059241457.jpg, 75, 748
30, 004645041.jpg, 135, 748
31, 060754485.jpg, 208, 748
32, 017052412.jpg, 283, 748
33, 006505159.jpg, 376, 748
34, 094888554.jpg, 459, 748
35, 096563203.jpg, 577, 748
36, 080839735.jpg, 647, 748
37, 030461377.jpg, 707, 748
38, 009767211.jpg, 30, 889
39, 068423303.jpg, 91, 889
40, 044015249.jpg, 298, 889
41, 012203823.jpg, 600, 889
42, 049517691.jpg, 714, 889
43, 003438852.jpg, 7, 1456
44, 090932040.jpg, , 
45, 025877998.jpg, , 
46, 066252228.jpg, , 
47, 031171108.jpg, 134, 187
48, 052006802.jpg, 197, 187
49, 054671028.jpg, 288, 187
50, 018485446.jpg, 12, 2575
51, 096958463.jpg, 27, 2716
52, 077513282.jpg, 91, 2716
53, 093949894.jpg, 162, 2716
54, 089482735.jpg, 225, 2716
55, 059789998.jpg, 318, 2716
56, 092187424.jpg, 382, 2716
57, 008849250.jpg, 15, 787
58, 019598286.jpg, 82, 787
59, 004522729.jpg, 144, 787
60, 032533033.jpg, , 
61, 038867729.jpg, , 
62, 027134903.jpg, , 
63, 082873751.jpg, 11, 513
64, 035675333.jpg, 93, 513
65, 028093451.jpg, 215, 513
66, 054269608.jpg, , 
67, 014092422.jpg, , 
68, 080219698.jpg, , 
69, 007455064.jpg, , 
70, 098688694.jpg, 101, 1164
71, 077224477.jpg, 277, 1164
72, 019871568.jpg, 442, 1164
73, 000552212.jpg, 517, 1164
74, 081546143.jpg, , 
75, 070685734.jpg, , 
76, 072900717.jpg, , 
77, 077127035.jpg, , 
78, 007404465.jpg, , 
79, 035846573.jpg, 36, 315
80, 011586906.jpg, 97, 315
81, 086310343.jpg, 231, 315
82, 062329813.jpg, 299, 315
83, 033089802.jpg, , 
84, 006355835.jpg, 8, 1896
85, 031098232.jpg, 103, 1896
86, 032518332.jpg, 190, 1896
87, 072960618.jpg, 294, 1896
88, 063755747.jpg, 449, 1896
89, 088721274.jpg, 38, 100
90, 047221493.jpg, 121, 100
91, 011959425.jpg, 202, 100
92, 071324479.jpg, 351, 100
93, 076078505.jpg, 126, 910
94, 056127720.jpg, 154, 2793
95, 077096718.jpg, 224, 2793
96, 049379560.jpg, 355, 2793
97, 052273283.jpg, , 
98, 042754102.jpg, 3, 2331
99, 002541913.jpg, 63, 2331
100, 010789143.jpg, 132, 2331
101, 003142919.jpg, 196, 2331
102, 063641041.jpg, 266, 2331
103, 031435598.jpg, 10, 706
104, 050857069.jpg, 78, 706
105, 090756647.jpg, 2, 661
106, 024929223.jpg, 62, 661
107, 041038292.jpg, 126, 661
108, 075555114.jpg, 209, 661
109, 022879817.jpg, 6, 127
110, 007697991.jpg, 66, 127
111, 028975145.jpg, , 
112, 016122129.jpg, 86, 2376
113, 092969765.jpg, 147, 2376
114, 080812038.jpg, 216, 2376
115, 063340376.jpg, 281, 2376
116, 087146059.jpg, 376, 2376
117, 080367208.jpg, 446, 2376
118, 018657006.jpg, 634, 2376
119, 089255900.jpg, 168, 1158
120, 053934224.jpg, 5, 1431
121, 080744016.jpg, 65, 1431
122, 089609130.jpg, 39, 781
123, 031800347.jpg, 101, 781
124, 011005192.jpg, 106, 1357
125, 022793516.jpg, 171, 1357
126, 042710779.jpg, , 
127, 081801477.jpg, , 
128, 086073058.jpg, 1, 336
129, 000695213.jpg, 69, 336
130, 051074730.jpg, 139, 336
131, 041741100.jpg, 10, 2076
132, 022210781.jpg, 133, 2076
133, 011986537.jpg, 286, 2076
134, 033761517.jpg, 10, 288
135, 094290970.jpg, 75, 288
136, 032320293.jpg, 417, 288
137, 051879062.jpg, 537, 288
138, 070301896.jpg, 625, 288
139, 036362960.jpg, 849, 288
140, 097178208.jpg, 1063, 288
141, 096244729.jpg, 1188, 288
142, 025178230.jpg, 4, 1783
143, 049724851.jpg, 79, 1783
144, 030087831.jpg, 150, 1783
145, 028484049.jpg, 258, 1783
146, 003688695.jpg, 48, 2246
147, 060956433.jpg, 129, 2246
148, 050267902.jpg, 1110, 2246
149, 005147875.jpg, 1757, 2246
150, 027864646.jpg, 2061, 2246
151, 090826589.jpg, 2309, 2246
152, 023956189.jpg, 1, 1290
153, 014489487.jpg, 63, 1290
154, 048945276.jpg, 23, 1605
155, 098565045.jpg, 89, 1605
156, 024205527.jpg, 5, 1605
157, 067213555.jpg, 67, 1605
158, 076161962.jpg, 144, 1605
159, 023763754.jpg, 1, 20
160, 072821635.jpg, 61, 20
161, 036778313.jpg, , 
162, 063230583.jpg, , 
163, 063352971.jpg, , 
164, 053577468.jpg, , 
165, 009028977.jpg, , 
